@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric

@data
96,'2022/03/16 22:40:32:942',1,2.778295,2.778295,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
97,'2022/03/16 22:40:32:948',1,2.517482,2.517482,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
98,'2022/03/16 22:40:32:957',1,2.678628,2.678628,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
99,'2022/03/16 22:40:32:968',1,2.768658,2.768658,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
100,'2022/03/16 22:40:32:988',1,2.951349,2.951349,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
101,'2022/03/16 22:40:32:989',1,2.951349,2.951349,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
102,'2022/03/16 22:40:32:999',1,2.7715,2.7715,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
103,'2022/03/16 22:40:33:012',1,2.475624,2.475624,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
104,'2022/03/16 22:40:33:032',1,3.25,3.25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
105,'2022/03/16 22:40:33:032',1,3.25,3.25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
106,'2022/03/16 22:40:33:054',1,3.25,3.25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
107,'2022/03/16 22:40:33:055',1,3.25,3.25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
108,'2022/03/16 22:40:33:064',1,3.178762,3.178762,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
109,'2022/03/16 22:40:33:076',1,2.517129,2.517129,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
110,'2022/03/16 22:40:33:077',1,2.517129,2.517129,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
111,'2022/03/16 22:40:33:086',1,2.276008,2.276008,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
112,'2022/03/16 22:40:33:096',1,2.520372,2.520372,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
113,'2022/03/16 22:40:33:107',1,2.524465,2.524465,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
114,'2022/03/16 22:40:33:117',1,2.62189,2.62189,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
115,'2022/03/16 22:40:33:128',1,2.887938,2.887938,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
116,'2022/03/16 22:40:33:138',1,2.707563,2.707563,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
117,'2022/03/16 22:40:33:159',1,2.739181,2.739181,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
118,'2022/03/16 22:40:33:160',1,2.739181,2.739181,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
119,'2022/03/16 22:40:33:170',1,2.527212,2.527212,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
120,'2022/03/16 22:40:33:180',1,2.604356,2.604356,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
121,'2022/03/16 22:40:33:192',1,2.791607,2.791607,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
